"Name","model_name","State","Tags","adjecency_threshold","hidden_dim","learning_rate","max_epochs","save_predictions","use_activation","use_dropout","print_cluster_loss","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse","BRYANT_test_loss","BRYANT_test_loss_true","BRYANT_test_mae","BRYANT_test_mse","BRYANT_test_rmse","BRYANT_val_loss","BRYANT_val_loss_true","BRYANT_val_mae","BRYANT_val_mse","BRYANT_val_rmse","CAMBRIDGE_test_loss","CAMBRIDGE_test_loss_true","CAMBRIDGE_test_mae","CAMBRIDGE_test_mse","CAMBRIDGE_test_rmse","CAMBRIDGE_val_loss","CAMBRIDGE_val_loss_true","CAMBRIDGE_val_mae","CAMBRIDGE_val_mse","CAMBRIDGE_val_rmse","HAMILTON_test_loss","HAMILTON_test_loss_true","HAMILTON_test_mae","HAMILTON_test_mse","HAMILTON_test_rmse","HAMILTON_val_loss","HAMILTON_val_loss_true","HAMILTON_val_mae","HAMILTON_val_mse","HAMILTON_val_rmse","HIGH_test_loss","HIGH_test_loss_true","HIGH_test_mae","HIGH_test_mse","HIGH_test_rmse","HIGH_val_loss","HIGH_val_loss_true","HIGH_val_mae","HIGH_val_mse","HIGH_val_rmse","MPL_test_loss","MPL_test_loss_true","MPL_test_mae","MPL_test_mse","MPL_test_rmse","MPL_val_loss","MPL_val_loss_true","MPL_val_mae","MPL_val_mse","MPL_val_rmse","RINCONADA_test_loss","RINCONADA_test_loss_true","RINCONADA_test_mae","RINCONADA_test_mse","RINCONADA_test_rmse","RINCONADA_val_loss","RINCONADA_val_loss_true","RINCONADA_val_mae","RINCONADA_val_mse","RINCONADA_val_rmse","TED_test_loss","TED_test_loss_true","TED_test_mae","TED_test_mse","TED_test_rmse","TED_val_loss","TED_val_loss_true","TED_val_mae","TED_val_mse","TED_val_rmse","WEBSTER_test_loss","WEBSTER_test_loss_true","WEBSTER_test_mae","WEBSTER_test_mse","WEBSTER_test_rmse","WEBSTER_val_loss","WEBSTER_val_loss_true","WEBSTER_val_mae","WEBSTER_val_mse","WEBSTER_val_rmse"
"peach-capybara-4393","TGCN","finished","","1.5","512","0.0001","20","false","true","false","false","20","1.1966863870620728","0.108743816614151","0.9078893065452576","1.6384015083312988","1.274367332458496","1.056041598320007","0.12056653201580048","0.9812199473381042","1.8017268180847168","1.3422842025756836","4740","1.1805860996246338","0.12336792051792143","0.9338260889053344","1.7229233980178833","1.3058347702026367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"snowy-fire-4335","TGCN","finished","","1.5","512","0.0001","20","false","true","false","false","20","1.2155911922454834","0.1176467016339302","0.9035241603851318","1.6963131427764893","1.2967736721038818","1.0408294200897217","0.16329734027385712","0.8697457909584045","1.428580403327942","1.195232391357422","4740","1.178130030632019","0.11715067923069","0.9192448854446412","1.703830003738403","1.2988988161087036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"driven-fog-4314","TGCN","finished","","1.5","512","0.0001","20","false","true","false","false","20","1.1991878747940063","0.11153620481491087","0.9177352786064148","1.6615681648254397","1.2835336923599243","1.052767276763916","0.26182281970977783","0.987208604812622","1.9026168584823608","1.3793537616729736","4740","1.1863614320755005","0.1285848766565323","0.9393162727355956","1.736975908279419","1.311001181602478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dynamic 1 forecast 48 ","TGCN","finished","","1.5","512","0.0001","20","false","true","false","false","20","1.2034317255020142","0.10657976567745207","0.8975939750671387","1.6447749137878418","1.2768653631210327","1.093932032585144","0.1966799795627594","0.9668461680412292","1.7738633155822754","1.331864595413208","4740","1.175534963607788","0.11797307431697844","0.9311211705207824","1.7316508293151855","1.308119297027588","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
