"Name","model_name","State","Tags","adjecency_threshold","hidden_dim","learning_rate","max_epochs","save_predictions","use_activation","use_dropout","print_cluster_loss","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse","BRYANT_test_loss","BRYANT_test_loss_true","BRYANT_test_mae","BRYANT_test_mse","BRYANT_test_rmse","BRYANT_val_loss","BRYANT_val_loss_true","BRYANT_val_mae","BRYANT_val_mse","BRYANT_val_rmse","CAMBRIDGE_test_loss","CAMBRIDGE_test_loss_true","CAMBRIDGE_test_mae","CAMBRIDGE_test_mse","CAMBRIDGE_test_rmse","CAMBRIDGE_val_loss","CAMBRIDGE_val_loss_true","CAMBRIDGE_val_mae","CAMBRIDGE_val_mse","CAMBRIDGE_val_rmse","HAMILTON_test_loss","HAMILTON_test_loss_true","HAMILTON_test_mae","HAMILTON_test_mse","HAMILTON_test_rmse","HAMILTON_val_loss","HAMILTON_val_loss_true","HAMILTON_val_mae","HAMILTON_val_mse","HAMILTON_val_rmse","HIGH_test_loss","HIGH_test_loss_true","HIGH_test_mae","HIGH_test_mse","HIGH_test_rmse","HIGH_val_loss","HIGH_val_loss_true","HIGH_val_mae","HIGH_val_mse","HIGH_val_rmse","MPL_test_loss","MPL_test_loss_true","MPL_test_mae","MPL_test_mse","MPL_test_rmse","MPL_val_loss","MPL_val_loss_true","MPL_val_mae","MPL_val_mse","MPL_val_rmse","RINCONADA_test_loss","RINCONADA_test_loss_true","RINCONADA_test_mae","RINCONADA_test_mse","RINCONADA_test_rmse","RINCONADA_val_loss","RINCONADA_val_loss_true","RINCONADA_val_mae","RINCONADA_val_mse","RINCONADA_val_rmse","TED_test_loss","TED_test_loss_true","TED_test_mae","TED_test_mse","TED_test_rmse","TED_val_loss","TED_val_loss_true","TED_val_mae","TED_val_mse","TED_val_rmse","WEBSTER_test_loss","WEBSTER_test_loss_true","WEBSTER_test_mae","WEBSTER_test_mse","WEBSTER_test_rmse","WEBSTER_val_loss","WEBSTER_val_loss_true","WEBSTER_val_mae","WEBSTER_val_mse","WEBSTER_val_rmse"
"daily-frost-4275","TGCN","finished","","1.5","512","0.0001","20","false","true","false","false","20","0.963885486125946","-0.0888996422290802","0.6935892105102539","1.1387388706207275","1.0626835823059082","0.9129056930541992","0.10600528866052628","0.8246711492538452","1.5549384355545044","1.2469717264175415","4740","0.9364858865737916","-0.09027717262506484","0.6972241997718811","1.1886826753616333","1.0801013708114624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"worthy-morning-4250","TGCN","finished","","1.5","512","0.0001","20","false","true","false","false","20","0.9701087474822998","-0.09321440011262894","0.6696258783340454","1.062261700630188","1.0271016359329224","0.927523136138916","0.022615652531385425","0.8429272770881653","1.556041240692139","1.2474138736724854","4740","0.94051855802536","-0.09103464335203172","0.6884942054748535","1.1574355363845823","1.067225694656372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"helpful-cherry-4201","TGCN","finished","","1.5","512","0.0001","20","false","true","false","false","20","0.9621327519416808","-0.08863875269889832","0.6987437009811401","1.1485143899917605","1.067652940750122","0.8759975433349609","0.0960809513926506","0.8063517808914185","1.608046531677246","1.2680877447128296","4740","0.9376585483551024","-0.08367609232664108","0.7204887866973877","1.263977289199829","1.1146522760391235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dynamic 1 forecast 1","TGCN","finished","","1.5","512","0.0001","20","false","true","false","false","20","0.970641016960144","-0.09831397235393524","0.6655409336090088","1.0486031770706177","1.0204488039016724","0.8969295024871826","0.018591443076729774","0.8522940278053284","1.909717321395874","1.3819252252578735","4740","0.9400191307067872","-0.0946335792541504","0.6873629093170166","1.1486008167266846","1.0630995035171509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
