"Name","State","Notes","User","Tags","Created","Runtime","Sweep","model_name","accelerator","auto_lr_find","auto_scale_batch_size","batch_size","censor_level","censored","check_val_every_n_epoch","cluster","covariates","dataloader","detect_anomaly","devices","enable_checkpointing","enable_model_summary","enable_progress_bar","fast_dev_run","feat_max_val","forecast_lead","hidden_dim","inference_mode","input_dim","learning_rate","log_every_n_steps","logger","loss","loss_fn","max_epochs","max_steps","move_metrics_to_cpu","multiple_stations","multiple_trainloader_mode","no_self_loops","node_features","num_layers","num_nodes","num_sanity_val_steps","output_dim","overfit_batches","precision","pretrained","reload_dataloaders_every_n_epochs","replace_sampler_ddp","sequence_length","sync_batchnorm","test_end","track_grad_norm","train_end","train_start","val_end","weight_decay","censor_dyanmic","censor_dynamic","forecast_horizon","mode","save_predictions","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse"
"deft-mountain-246","finished","-","jujusi","","2023-05-23T20:29:20.000Z","462","","GRU","gpu","false","false","51","2","true","1","WEBSTER","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","1.015870451927185","-0.049238238483667374","1.0772664546966553","2.183753728866577","1.4266270399093628","0.9191498160362244","-0.6389169692993164","1.41398823261261","4.786636829376221","2.148604154586792","17820","0.9248234629631042","-0.2945585250854492","0.9171553254127502","1.645954132080078","1.2390557527542114"
"devoted-mountain-244","finished","-","jujusi","","2023-05-23T20:21:58.000Z","425","","GRU","gpu","false","false","51","2","true","1","HIGH","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","1.2150967121124268","-0.34464555978775024","0.933028280735016","1.7057876586914062","1.2842810153961182","1.1896651983261108","-0.7677403688430786","1.0470389127731323","2.223674774169922","1.4746477603912354","17820","1.2867212295532229","-0.3355502486228943","0.9902522563934326","1.9447169303894043","1.3512555360794067"
"warm-butterfly-242","finished","-","jujusi","","2023-05-23T20:14:34.000Z","425","","GRU","gpu","false","false","51","2","true","1","TED","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","1.4663206338882446","0.3540117144584656","0.9884924292564392","2.1019175052642822","1.3797467947006226","0.900817334651947","0.7552147507667542","0.824846625328064","1.2851473093032837","1.120706558227539","17820","1.3547694683074951","0.24167852103710177","0.990928053855896","2.1967525482177734","1.390991449356079"
"flowing-water-240","finished","-","jujusi","","2023-05-23T20:07:06.000Z","432","","GRU","gpu","false","false","51","2","true","1","HAMILTON","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","0.6020498275756836","0.5798861384391785","0.7687473893165588","1.0942778587341309","1.009803295135498","0.5855310559272766","0.6647314429283142","1.0615882873535156","2.120410919189453","1.4388806819915771","17820","0.6505032777786255","0.5818827152252197","0.6964064836502075","0.923636555671692","0.9254854321479796"
"azure-armadillo-239","finished","-","jujusi","","2023-05-23T19:59:47.000Z","423","","GRU","gpu","false","false","51","2","true","1","RINCONADA","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","0.990200698375702","0.9079312682151794","0.6786473989486694","0.7390691637992859","0.832390308380127","0.8289585113525391","0.7770795822143555","0.749793529510498","0.919074773788452","0.9500732421875","17820","1.0383130311965942","0.9569222927093506","0.6993879675865173","0.725354015827179","0.8244312405586243"
"denim-leaf-237","finished","-","jujusi","","2023-05-23T19:52:20.000Z","429","","GRU","gpu","false","false","51","2","true","1","CAMBRIDGE","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","2.5171713829040527","0.3636969327926636","1.669224977493286","5.888169765472412","2.3507893085479736","0.801869809627533","0.2054433077573776","0.9818037152290344","2.0686380863189697","1.4187443256378174","17820","1.7184017896652222","0.11375711113214491","1.1348220109939575","2.938145637512207","1.6203244924545288"
"likely-silence-235","finished","-","jujusi","","2023-05-23T19:44:58.000Z","425","","GRU","gpu","false","false","51","2","true","1","MPL","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","0.8727076649665833","0.8814314007759094","0.8704903721809387","1.4162936210632324","1.1592434644699097","0.9484376907348632","0.392027884721756","0.7939803004264832","1.063576340675354","1.0237334966659546","17820","0.8551446795463562","0.8547452092170715","0.8291507363319397","1.237995743751526","1.0749211311340332"
"expert-butterfly-233","finished","-","jujusi","","2023-05-23T19:37:34.000Z","427","","GRU","gpu","false","false","51","2","true","1","BRYANT","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","1.2871472835540771","-0.7068697810173035","1.006354570388794","2.1554758548736572","1.4114999771118164","1.2018016576766968","-0.3695340156555176","0.9826908707618712","1.8748899698257449","1.3575081825256348","17820","1.3679258823394775","-0.8779879808425903","1.0734866857528689","2.4001553058624268","1.5024645328521729"
"hardy-yogurt-231","finished","-","jujusi","","2023-05-23T19:30:09.000Z","430","","GRU","gpu","false","false","51","2","true","1","WEBSTER","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","1.027812123298645","-0.06017661094665527","1.0124605894088743","1.8864814043045044","1.33003568649292","0.9201408624649048","-0.6299855709075928","1.4312018156051636","4.9825592041015625","2.1944591999053955","17820","0.9328011870384216","-0.31239575147628784","0.8459054827690125","1.4065699577331543","1.1500301361083984"
"silvery-butterfly-229","finished","-","jujusi","","2023-05-23T19:22:47.000Z","426","","GRU","gpu","false","false","51","2","true","1","HIGH","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","1.227542519569397","-0.3327862024307251","0.9216975569725036","1.6883825063705444","1.2761610746383667","1.1898856163024902","-0.7650848031044006","1.0533615350723269","2.2737390995025635","1.491673231124878","17820","1.3073604106903076","-0.31396210193634033","0.9891742467880248","1.9244035482406616","1.3442881107330322"
"comfy-dream-228","finished","-","jujusi","","2023-05-23T19:15:21.000Z","431","","GRU","gpu","false","false","51","2","true","1","TED","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","1.6078146696090698","0.4977779984474182","1.0749109983444214","2.575263738632202","1.5225987434387207","0.8869944214820862","0.7518710494041443","0.8256866931915283","1.3321985006332395","1.1425589323043823","17820","1.429824948310852","0.3175390064716339","1.0278980731964111","2.475490093231201","1.4693034887313845"
"cosmic-puddle-226","finished","-","jujusi","","2023-05-23T19:07:59.000Z","427","","GRU","gpu","false","false","51","2","true","1","HAMILTON","true","EVChargersDataset","false","1","true","true","true","false","","48","238","true","8","0.00070386","50","true","CPNLL","censored_poisson_negative_log_likelihood","30","-1","false","false","max_size_cycle","","","1","1","2","","0","32","","0","true","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.00268538443015154","","true","1","train","false","30","0.6002516150474548","0.587408185005188","0.823863685131073","1.2729631662368774","1.0783915519714355","0.5885698199272156","0.6576434969902039","1.0482834577560425","1.9905391931533811","1.3919538259506226","17820","0.6502571702003479","0.5983439683914185","0.7683569192886353","1.1506487131118774","1.0238229036331177"
