"Name","model_name","State","Tags","adjecency_threshold","hidden_dim","learning_rate","max_epochs","save_predictions","use_activation","use_dropout","print_cluster_loss","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse","BRYANT_test_loss","BRYANT_test_loss_true","BRYANT_test_mae","BRYANT_test_mse","BRYANT_test_rmse","BRYANT_val_loss","BRYANT_val_loss_true","BRYANT_val_mae","BRYANT_val_mse","BRYANT_val_rmse","CAMBRIDGE_test_loss","CAMBRIDGE_test_loss_true","CAMBRIDGE_test_mae","CAMBRIDGE_test_mse","CAMBRIDGE_test_rmse","CAMBRIDGE_val_loss","CAMBRIDGE_val_loss_true","CAMBRIDGE_val_mae","CAMBRIDGE_val_mse","CAMBRIDGE_val_rmse","HAMILTON_test_loss","HAMILTON_test_loss_true","HAMILTON_test_mae","HAMILTON_test_mse","HAMILTON_test_rmse","HAMILTON_val_loss","HAMILTON_val_loss_true","HAMILTON_val_mae","HAMILTON_val_mse","HAMILTON_val_rmse","HIGH_test_loss","HIGH_test_loss_true","HIGH_test_mae","HIGH_test_mse","HIGH_test_rmse","HIGH_val_loss","HIGH_val_loss_true","HIGH_val_mae","HIGH_val_mse","HIGH_val_rmse","MPL_test_loss","MPL_test_loss_true","MPL_test_mae","MPL_test_mse","MPL_test_rmse","MPL_val_loss","MPL_val_loss_true","MPL_val_mae","MPL_val_mse","MPL_val_rmse","RINCONADA_test_loss","RINCONADA_test_loss_true","RINCONADA_test_mae","RINCONADA_test_mse","RINCONADA_test_rmse","RINCONADA_val_loss","RINCONADA_val_loss_true","RINCONADA_val_mae","RINCONADA_val_mse","RINCONADA_val_rmse","TED_test_loss","TED_test_loss_true","TED_test_mae","TED_test_mse","TED_test_rmse","TED_val_loss","TED_val_loss_true","TED_val_mae","TED_val_mse","TED_val_rmse","WEBSTER_test_loss","WEBSTER_test_loss_true","WEBSTER_test_mae","WEBSTER_test_mse","WEBSTER_test_rmse","WEBSTER_val_loss","WEBSTER_val_loss_true","WEBSTER_val_mae","WEBSTER_val_mse","WEBSTER_val_rmse"
"elated-plant-5058","TGCN","finished","","1.5","512","0.00001","15","true","true","false","false","15","1.3853299617767334","0.2256894558668137","0.9889225363731384","2.1503663063049316","1.460558295249939","1.319194793701172","0.17353351414203644","0.9635565280914308","1.7559770345687866","1.3251328468322754","3555","1.3630071878433228","0.2187652289867401","0.9778434038162231","2.1096856594085693","1.4405481815338137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"youthful-jazz-5032","TGCN","finished","","1.5","512","0.00001","15","true","true","false","false","15","1.4127483367919922","0.2608604431152344","1.0018668174743652","2.255347728729248","1.4955414533615112","1.3224492073059082","0.22103251516819","0.9494004845619202","1.7293734550476074","1.3150564432144165","3555","1.383725643157959","0.24499233067035675","0.9881646633148192","2.1844513416290283","1.465062975883484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"northern-monkey-4983","TGCN","finished","","1.5","512","0.00001","15","true","true","false","false","15","1.410285234451294","0.25501856207847595","0.988061785697937","2.1882026195526123","1.473102331161499","1.252729892730713","0.15613442659378052","0.896154522895813","1.5481115579605105","1.244231343269348","3555","1.38498854637146","0.24415741860866547","0.9799259305000304","2.146002769470215","1.4530092477798462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"blooming-serenity-4938","TGCN","finished","","1.5","512","0.00001","15","true","true","false","false","15","1.4108346700668335","0.2551725506782532","0.992133378982544","2.2044403553009033","1.4789139032363892","1.2732398509979248","0.20125336945056915","0.9216479063034058","1.6543715000152588","1.2862237691879272","3555","1.3789139986038208","0.23682406544685364","0.97825825214386","2.1325864791870117","1.4484212398529053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
