"Name","model_name","State","Tags","adjecency_threshold","hidden_dim","learning_rate","max_epochs","save_predictions","use_activation","use_dropout","print_cluster_loss","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse","BRYANT_test_loss","BRYANT_test_loss_true","BRYANT_test_mae","BRYANT_test_mse","BRYANT_test_rmse","BRYANT_val_loss","BRYANT_val_loss_true","BRYANT_val_mae","BRYANT_val_mse","BRYANT_val_rmse","CAMBRIDGE_test_loss","CAMBRIDGE_test_loss_true","CAMBRIDGE_test_mae","CAMBRIDGE_test_mse","CAMBRIDGE_test_rmse","CAMBRIDGE_val_loss","CAMBRIDGE_val_loss_true","CAMBRIDGE_val_mae","CAMBRIDGE_val_mse","CAMBRIDGE_val_rmse","HAMILTON_test_loss","HAMILTON_test_loss_true","HAMILTON_test_mae","HAMILTON_test_mse","HAMILTON_test_rmse","HAMILTON_val_loss","HAMILTON_val_loss_true","HAMILTON_val_mae","HAMILTON_val_mse","HAMILTON_val_rmse","HIGH_test_loss","HIGH_test_loss_true","HIGH_test_mae","HIGH_test_mse","HIGH_test_rmse","HIGH_val_loss","HIGH_val_loss_true","HIGH_val_mae","HIGH_val_mse","HIGH_val_rmse","MPL_test_loss","MPL_test_loss_true","MPL_test_mae","MPL_test_mse","MPL_test_rmse","MPL_val_loss","MPL_val_loss_true","MPL_val_mae","MPL_val_mse","MPL_val_rmse","RINCONADA_test_loss","RINCONADA_test_loss_true","RINCONADA_test_mae","RINCONADA_test_mse","RINCONADA_test_rmse","RINCONADA_val_loss","RINCONADA_val_loss_true","RINCONADA_val_mae","RINCONADA_val_mse","RINCONADA_val_rmse","TED_test_loss","TED_test_loss_true","TED_test_mae","TED_test_mse","TED_test_rmse","TED_val_loss","TED_val_loss_true","TED_val_mae","TED_val_mse","TED_val_rmse","WEBSTER_test_loss","WEBSTER_test_loss_true","WEBSTER_test_mae","WEBSTER_test_mse","WEBSTER_test_rmse","WEBSTER_val_loss","WEBSTER_val_loss_true","WEBSTER_val_mae","WEBSTER_val_mse","WEBSTER_val_rmse"
"deft-glade-4792","TGCN","finished","","1.5","512","0.00001","15","true","true","false","false","15","0.933785080909729","0.23349086940288544","0.9752773642539978","2.766531467437744","1.6442021131515503","1.0506147146224976","0.2582888603210449","0.9995183944702148","2.466897487640381","1.5706360340118408","3555","0.9237117767333984","0.2387879341840744","0.96922504901886","2.8060784339904785","1.6410467624664309","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"playful-fire-4787","TGCN","finished","","1.5","512","0.00001","15","true","true","false","false","15","0.9337201714515686","0.2339799851179123","0.9765915274620056","2.7685253620147705","1.64481520652771","1.0418636798858645","0.30621060729026794","0.9407585859298706","2.2915730476379395","1.5137943029403689","3555","0.9231138825416564","0.2396816462278366","0.971457302570343","2.811410903930664","1.6424978971481323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"colorful-donkey-4784","TGCN","finished","","1.5","512","0.00001","15","true","true","false","false","15","0.9347450137138368","0.24796703457832336","0.9861862659454346","2.817993640899658","1.6592432260513306","0.959422767162323","0.268549382686615","0.8760051727294922","2.0453410148620605","1.4301542043685913","3555","0.9236414432525636","0.24139636754989624","0.9724377393722534","2.8162736892700195","1.644436955451965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sandy-durian-4762","TGCN","finished","","1.5","512","0.00001","15","true","true","false","false","15","0.9342012405395508","0.23990082740783691","0.980430543422699","2.788883924484253","1.6508461236953735","0.9824392795562744","0.27411556243896484","0.913571000099182","2.17816162109375","1.4758596420288086","3555","0.9226788282394408","0.2322822064161301","0.965303599834442","2.785572052001953","1.6353508234024048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
